track,artist,genre
As It Was,Harry Styles,indie pop
N95,Kendrick Lamar,rap
United In Grief,Kendrick Lamar,jazz rap
Worldwide Steppers,Kendrick Lamar,kodak black
Die Hard,Kendrick Lamar,rnb
Father Time (feat. Sampha),Kendrick Lamar,Hip-Hop
Rich Spirit,Kendrick Lamar,Hip-Hop
Rich - Interlude,Kendrick Lamar,kodak black
We Cry Together,Kendrick Lamar,rap
Count Me Out,Kendrick Lamar,trap
Purple Hearts,Kendrick Lamar,Hip-Hop
Silent Hill,Kendrick Lamar,Hip-Hop
Crown,Kendrick Lamar,Hip-Hop
Auntie Diaries,Kendrick Lamar,rap
Savior,Kendrick Lamar,Baby Keem
The Heart Part 5,Kendrick Lamar,rap
First Class,Jack Harlow,rnb
Savior - Interlude,Kendrick Lamar,Baby Keem
Mr. Morale,Kendrick Lamar,rap
Mirror,Kendrick Lamar,rap
Woman,Doja Cat,afrobeat
good 4 u,Olivia Rodrigo,pop rock
Mother I Sober (feat. Beth Gibbons of Portishead),Kendrick Lamar,Hip-Hop
Kiss Me More (feat. SZA),Doja Cat,rnb
505,Arctic Monkeys,indie rock
Need To Know,Doja Cat,trap
See You Again (feat. Kali Uchis),"Tyler, the Creator",rap
Heat Waves,Glass Animals,indie
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,trap
Sweater Weather,The Neighbourhood,indie
Blinding Lights,The Weeknd,synthwave
The Less I Know the Better,Tame Impala,psychedelic
Alright,Kendrick Lamar,Hip-Hop
Money Trees,Kendrick Lamar,rap
This Love (Taylor’s Version),Taylor Swift,pop
HUMBLE.,Kendrick Lamar,rap
About Damn Time,Lizzo,Disco
Wildest Dreams (Taylor's Version),Taylor Swift,pop
deja vu,Olivia Rodrigo,pop
Happier Than Ever,Billie Eilish,noise pop
Pink + White,Frank Ocean,rnb
Lost,Frank Ocean,rnb
Earfquake,"Tyler, the Creator",alternative
NEW MAGIC WAND,"Tyler, the Creator",experimental hip hop
Family Ties (with Kendrick Lamar),Baby Keem,Hip-Hop
Dark Red,Steve Lacy,alternative
Bound 2,Kanye West,uh huh honey
Wait a Minute!,Willow,alternative
Stay (with Justin Bieber),The Kid LAROI,pop rap
nights,Frank Ocean,rnb
As It Was,Harry Styles,indie pop
N95,Kendrick Lamar,rap
United In Grief,Kendrick Lamar,jazz rap
Worldwide Steppers,Kendrick Lamar,kodak black
Die Hard,Kendrick Lamar,rnb
Father Time (feat. Sampha),Kendrick Lamar,Hip-Hop
Rich Spirit,Kendrick Lamar,Hip-Hop
Rich - Interlude,Kendrick Lamar,kodak black
We Cry Together,Kendrick Lamar,rap
Count Me Out,Kendrick Lamar,trap
Purple Hearts,Kendrick Lamar,Hip-Hop
Silent Hill,Kendrick Lamar,Hip-Hop
Crown,Kendrick Lamar,Hip-Hop
Auntie Diaries,Kendrick Lamar,rap
Savior,Kendrick Lamar,Baby Keem
The Heart Part 5,Kendrick Lamar,rap
Savior - Interlude,Kendrick Lamar,Baby Keem
First Class,Jack Harlow,rnb
Mr. Morale,Kendrick Lamar,rap
Mirror,Kendrick Lamar,rap
Woman,Doja Cat,afrobeat
good 4 u,Olivia Rodrigo,pop rock
Mother I Sober (feat. Beth Gibbons of Portishead),Kendrick Lamar,Hip-Hop
Kiss Me More (feat. SZA),Doja Cat,rnb
505,Arctic Monkeys,indie rock
Need To Know,Doja Cat,trap
See You Again (feat. Kali Uchis),"Tyler, the Creator",rap
Heat Waves,Glass Animals,indie
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,trap
Sweater Weather,The Neighbourhood,indie
Blinding Lights,The Weeknd,synthwave
The Less I Know the Better,Tame Impala,psychedelic
Alright,Kendrick Lamar,Hip-Hop
This Love (Taylor’s Version),Taylor Swift,pop
Money Trees,Kendrick Lamar,rap
HUMBLE.,Kendrick Lamar,rap
Wildest Dreams (Taylor's Version),Taylor Swift,pop
About Damn Time,Lizzo,Disco
deja vu,Olivia Rodrigo,pop
Happier Than Ever,Billie Eilish,noise pop
Pink + White,Frank Ocean,rnb
Lost,Frank Ocean,rnb
Earfquake,"Tyler, the Creator",alternative
NEW MAGIC WAND,"Tyler, the Creator",experimental hip hop
Family Ties (with Kendrick Lamar),Baby Keem,Hip-Hop
Dark Red,Steve Lacy,alternative
Bound 2,Kanye West,uh huh honey
Wait a Minute!,Willow,alternative
Stay (with Justin Bieber),The Kid LAROI,pop rap
nights,Frank Ocean,rnb
DNA.,Kendrick Lamar,rap
Washing Machine Heart,Mitski,indie
Father Stretch My Hands Pt. 1,Kanye West,rnb
PRIDE.,Kendrick Lamar,Conscious Hip Hop
Why'd You Only Call Me When You're High?,Arctic Monkeys,indie
Space Song,Beach House,dream pop
Blank Space,Taylor Swift,pop
Save Your Tears,The Weeknd,synthpop
traitor,Olivia Rodrigo,Ballad
WAIT FOR U (feat. Drake & Tems),Future,rnb
Redbone,Childish Gambino,soul
drivers license,Olivia Rodrigo,pop
Watermelon Sugar,Harry Styles,pop
Ivy,Frank Ocean,rnb
Flashing Lights,Kanye West,Hip-Hop
Slow dancing in the dark,Joji,soul
You Right,Doja Cat,rnb
Do I Wanna Know?,Arctic Monkeys,indie rock
"jealousy, jealousy",Olivia Rodrigo,rock
Feel Good Inc.,Gorillaz,alternative
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,pop
Get Into It (Yuh),Doja Cat,trap
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, the Creator",Neo-Soul
Something in the Way,Nirvana,Grunge
Mr. Brightside,The Killers,rock
Style,Taylor Swift,pop
Adore You,Harry Styles,pop
Daddy Issues,The Neighbourhood,indie
LOVE. FEAT. ZACARI.,Kendrick Lamar,rnb
Ain't Shit,Doja Cat,rnb
Keep It Burnin (feat. Kanye West),Future,trap
I Love You So,The walters,fip
Creep,Radiohead,alternative
brutal,Olivia Rodrigo,rock
No Surprises,Radiohead,alternative
Smells Like Teen Spirit,Nirvana,Grunge
No Role Modelz,J. Cole,Hip-Hop
The Foundations of Decay,My Chemical Romance,post-hardcore
Montero (Call Me By Your Name),Lil Nas X,rnb
Nobody,Mitski,Disco
aUgUSt,Taylor Swift,indie
PUFFIN ON ZOOTIEZ,Future,trap
carDIGan,Taylor Swift,chamber pop
712PM,Future,trap
First Love / Late Spring,Mitski,indie rock
King Kunta,Kendrick Lamar,Hip-Hop
Golden,Harry Styles,indie pop
Softcore,The Neighbourhood,alternative
Heartless,Kanye West,Kanye West
Cruel Summer,Taylor Swift,pop
